# Region type : patch outlet_cold
# Faces       : 856
# Area        : 2.008584e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0.925806      	3.003341e+02
0.990323      	3.003753e+02
1.05484       	3.004124e+02
1.11935       	3.004449e+02
1.18387       	3.004715e+02
1.24839       	3.004945e+02
1.3129        	3.005133e+02
1.37742       	3.005294e+02
1.44194       	3.005426e+02
1.50645       	3.005536e+02
1.57097       	3.005635e+02
1.63548       	3.005728e+02
1.7           	3.005818e+02
