# Region type : patch outlet_cold
# Faces       : 856
# Area        : 2.008584e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0.0694951     	2.999999e+02
0.132258      	2.999999e+02
0.196774      	3.000004e+02
0.263333      	3.000027e+02
0.33          	3.000088e+02
0.396667      	3.000209e+02
0.463333      	3.000406e+02
0.53          	3.000686e+02
0.596667      	3.001044e+02
0.663333      	3.001467e+02
0.73          	3.001933e+02
0.796667      	3.002420e+02
0.86129       	3.002891e+02
0.925806      	3.003341e+02
