# Region type : patch outlet_hot
# Faces       : 2388
# Area        : 3.140717e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0.925806      	3.530000e+02
0.990323      	3.530000e+02
1.05484       	3.530000e+02
1.11935       	3.530000e+02
1.18387       	3.530000e+02
1.24839       	3.530000e+02
1.3129        	3.530000e+02
1.37742       	3.530000e+02
1.44194       	3.530000e+02
1.50645       	3.530000e+02
1.57097       	3.530000e+02
1.63548       	3.530000e+02
1.7           	3.530000e+02
