# Region type : patch outlet_hot
# Faces       : 2388
# Area        : 3.140717e-02
# Scale factor: 1.000000e+00
# Time        	areaAverage(T)
0.0694951     	3.530000e+02
0.132258      	3.529999e+02
0.196774      	3.529999e+02
0.263333      	3.529999e+02
0.33          	3.529999e+02
0.396667      	3.529999e+02
0.463333      	3.529999e+02
0.53          	3.529999e+02
0.596667      	3.529999e+02
0.663333      	3.529998e+02
0.73          	3.529998e+02
0.796667      	3.529998e+02
0.86129       	3.529998e+02
0.925806      	3.529998e+02
