# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.903226      	hot_fluid_to_cold_fluid	-9.642250e+04	-3.870583e+03	-2.554866e+05
0.906452      	hot_fluid_to_cold_fluid	-9.629072e+04	-3.869976e+03	-2.547088e+05
0.909677      	hot_fluid_to_cold_fluid	-9.615938e+04	-3.869374e+03	-2.539398e+05
0.912903      	hot_fluid_to_cold_fluid	-9.602847e+04	-3.868777e+03	-2.531787e+05
0.916129      	hot_fluid_to_cold_fluid	-9.589800e+04	-3.868184e+03	-2.524241e+05
0.919355      	hot_fluid_to_cold_fluid	-9.576794e+04	-3.867596e+03	-2.516758e+05
0.922581      	hot_fluid_to_cold_fluid	-9.563831e+04	-3.867012e+03	-2.509329e+05
0.925806      	hot_fluid_to_cold_fluid	-9.550910e+04	-3.866433e+03	-2.501948e+05
0.929032      	hot_fluid_to_cold_fluid	-9.538031e+04	-3.865858e+03	-2.494617e+05
0.932258      	hot_fluid_to_cold_fluid	-9.525194e+04	-3.865287e+03	-2.487336e+05
0.935484      	hot_fluid_to_cold_fluid	-9.512397e+04	-3.864720e+03	-2.480110e+05
0.93871       	hot_fluid_to_cold_fluid	-9.499642e+04	-3.864157e+03	-2.472941e+05
0.941935      	hot_fluid_to_cold_fluid	-9.486927e+04	-3.863599e+03	-2.465825e+05
0.945161      	hot_fluid_to_cold_fluid	-9.474253e+04	-3.863044e+03	-2.458760e+05
0.948387      	hot_fluid_to_cold_fluid	-9.461618e+04	-3.862494e+03	-2.451740e+05
0.951613      	hot_fluid_to_cold_fluid	-9.449024e+04	-3.861947e+03	-2.444769e+05
0.954839      	hot_fluid_to_cold_fluid	-9.436468e+04	-3.861405e+03	-2.437851e+05
0.958065      	hot_fluid_to_cold_fluid	-9.423952e+04	-3.860866e+03	-2.430989e+05
0.96129       	hot_fluid_to_cold_fluid	-9.411475e+04	-3.860331e+03	-2.424185e+05
0.964516      	hot_fluid_to_cold_fluid	-9.399037e+04	-3.859799e+03	-2.417435e+05
0.967742      	hot_fluid_to_cold_fluid	-9.386637e+04	-3.859272e+03	-2.410732e+05
0.970968      	hot_fluid_to_cold_fluid	-9.374276e+04	-3.858748e+03	-2.404071e+05
0.974194      	hot_fluid_to_cold_fluid	-9.361953e+04	-3.858227e+03	-2.397448e+05
0.977419      	hot_fluid_to_cold_fluid	-9.349667e+04	-3.857710e+03	-2.390863e+05
0.980645      	hot_fluid_to_cold_fluid	-9.337419e+04	-3.857197e+03	-2.384313e+05
0.983871      	hot_fluid_to_cold_fluid	-9.325208e+04	-3.856687e+03	-2.377799e+05
0.987097      	hot_fluid_to_cold_fluid	-9.313035e+04	-3.856181e+03	-2.371320e+05
0.990323      	hot_fluid_to_cold_fluid	-9.300898e+04	-3.855678e+03	-2.364874e+05
0.993548      	hot_fluid_to_cold_fluid	-9.288798e+04	-3.855178e+03	-2.358463e+05
0.996774      	hot_fluid_to_cold_fluid	-9.276735e+04	-3.854682e+03	-2.352086e+05
1             	hot_fluid_to_cold_fluid	-9.264708e+04	-3.854189e+03	-2.345741e+05
