# Wall heat-flux
# Time        	patch         	min           	max           	integral      
0.0125        	hot_fluid_to_cold_fluid	-2.457869e+05	-6.040253e+04	-1.022165e+06
0.0197917     	hot_fluid_to_cold_fluid	-2.363508e+05	-5.667975e+04	-9.967119e+05
0.0270833     	hot_fluid_to_cold_fluid	-2.277805e+05	-5.341962e+04	-9.739684e+05
0.034375      	hot_fluid_to_cold_fluid	-2.200369e+05	-5.054316e+04	-9.529948e+05
0.0416667     	hot_fluid_to_cold_fluid	-2.130543e+05	-4.798893e+04	-9.335424e+05
0.0489583     	hot_fluid_to_cold_fluid	-2.067488e+05	-4.570703e+04	-9.154174e+05
0.05625       	hot_fluid_to_cold_fluid	-2.010306e+05	-4.365664e+04	-8.984623e+05
0.0635417     	hot_fluid_to_cold_fluid	-1.958126e+05	-4.180416e+04	-8.825461e+05
0.0708333     	hot_fluid_to_cold_fluid	-1.910146e+05	-4.012205e+04	-8.675583e+05
0.078125      	hot_fluid_to_cold_fluid	-1.865667e+05	-3.858675e+04	-8.534028e+05
0.0854167     	hot_fluid_to_cold_fluid	-1.824085e+05	-3.717902e+04	-8.399978e+05
0.0927083     	hot_fluid_to_cold_fluid	-1.784954e+05	-3.588270e+04	-8.272721e+05
0.1           	hot_fluid_to_cold_fluid	-1.747785e+05	-3.468390e+04	-8.151628e+05
0.107692      	hot_fluid_to_cold_fluid	-1.710443e+05	-3.351536e+04	-8.030204e+05
0.115385      	hot_fluid_to_cold_fluid	-1.686179e+05	-3.243009e+04	-7.914427e+05
0.123077      	hot_fluid_to_cold_fluid	-1.677385e+05	-3.141839e+04	-7.803806e+05
0.130769      	hot_fluid_to_cold_fluid	-1.668620e+05	-3.047197e+04	-7.697904e+05
0.138462      	hot_fluid_to_cold_fluid	-1.659890e+05	-2.958373e+04	-7.596337e+05
0.146154      	hot_fluid_to_cold_fluid	-1.651198e+05	-2.874757e+04	-7.498760e+05
0.153846      	hot_fluid_to_cold_fluid	-1.642551e+05	-2.795823e+04	-7.404868e+05
0.161538      	hot_fluid_to_cold_fluid	-1.633969e+05	-2.721112e+04	-7.314387e+05
0.169231      	hot_fluid_to_cold_fluid	-1.625798e+05	-2.650228e+04	-7.227070e+05
0.176923      	hot_fluid_to_cold_fluid	-1.617692e+05	-2.582824e+04	-7.142695e+05
0.184615      	hot_fluid_to_cold_fluid	-1.609650e+05	-2.518595e+04	-7.061064e+05
0.192308      	hot_fluid_to_cold_fluid	-1.601674e+05	-2.457272e+04	-6.981994e+05
0.2           	hot_fluid_to_cold_fluid	-1.593765e+05	-2.398620e+04	-6.905321e+05
0.208333      	hot_fluid_to_cold_fluid	-1.585281e+05	-2.338008e+04	-6.824954e+05
0.216667      	hot_fluid_to_cold_fluid	-1.576878e+05	-2.280027e+04	-6.747036e+05
0.225         	hot_fluid_to_cold_fluid	-1.568555e+05	-2.224471e+04	-6.671413e+05
0.233333      	hot_fluid_to_cold_fluid	-1.560313e+05	-2.171158e+04	-6.597946e+05
0.241667      	hot_fluid_to_cold_fluid	-1.552153e+05	-2.119926e+04	-6.526507e+05
0.25          	hot_fluid_to_cold_fluid	-1.544074e+05	-2.070628e+04	-6.456980e+05
0.258333      	hot_fluid_to_cold_fluid	-1.536077e+05	-2.023134e+04	-6.389257e+05
0.266667      	hot_fluid_to_cold_fluid	-1.528163e+05	-1.977355e+04	-6.323254e+05
0.275         	hot_fluid_to_cold_fluid	-1.520329e+05	-1.933151e+04	-6.258869e+05
0.283333      	hot_fluid_to_cold_fluid	-1.512577e+05	-1.890427e+04	-6.196019e+05
0.291667      	hot_fluid_to_cold_fluid	-1.504906e+05	-1.849095e+04	-6.134629e+05
0.3           	hot_fluid_to_cold_fluid	-1.497316e+05	-1.809076e+04	-6.074629e+05
0.308333      	hot_fluid_to_cold_fluid	-1.489806e+05	-1.770297e+04	-6.015952e+05
0.316667      	hot_fluid_to_cold_fluid	-1.482376e+05	-1.732691e+04	-5.958539e+05
0.325         	hot_fluid_to_cold_fluid	-1.475025e+05	-1.696197e+04	-5.902335e+05
0.333333      	hot_fluid_to_cold_fluid	-1.467752e+05	-1.660759e+04	-5.847288e+05
